video_id,time,author,text,emocja,pewnosc_emocji
P9i0WWOhVRg,3 tygodnie temu,@7uk1,Co on p....  i kto mu zaliczył taką odpowiedź. Mosso to król mojonezów!,LABEL_0,0.910038948059082
AB5A2kMUpEo,1 miesiąc temu,@robertacny2543,I unika odpowiedzi to co za wywiad,LABEL_0,0.8465079665184021
EXGQSbG5CVg,8 dni temu,@JakubHromadzki,"​ @janekjanecki2184 w sumie podobna historia była w Niemczech czy UK, ludzie też byli uśmiechnięci i do przodu, ale teraz już nie uśmiechają. W Polsce będzie to samo.",LABEL_0,0.616519570350647
kNOy3z2kl68,1 miesiąc temu,@hosewtrasie2642,Braun,LABEL_5,0.7272433042526245
WlLbKb3HtwE,2 dni temu,@janjan4481," @BarbaraJakubowska-j1t  
🇵🇱👍👍",LABEL_4,0.8022872805595398
j3doIOrx7JU,11 godzin temu,@teanshin,Czaskoski po tej kampanii postarzał się o kolejne 10 lat.,LABEL_5,0.8290557861328125
fmZDMUajWto,3 tygodnie temu,@windchaser121212,Przepraszam ale te dwie panie prowadzące kiedy namawiają do grzybów P. Brauna silnie mi się kojarzą z tymi paniami z urzędu skarbowego które namawiały npana mechanika do wymiany żarówki po godzinach pracy,LABEL_0,0.9203586578369141
kU60gY5uIIk,2 dni temu,@mstictube,Sznepffffff z niemiec dla niemiec,LABEL_5,0.8202325701713562
e8XqrdckYCw,2 tygodnie temu,@mw1st,Ja zachecam wyborcow Nawrockiego i Mentzena zeby na karcie do glosowania oddali glos na jednego i drugiego jednoczesnie. Wtedy beda wieksze szanse na pokonanie RT.,LABEL_0,0.6026134490966797
8Lsam8InaT4,1 miesiąc temu,@ArturCzęczek,Witam Panów serdecznie i wszystkich obecnych.,LABEL_4,0.6535215377807617
SK8j0z_pUgg,1 miesiąc temu,@Yogi4bearddread,Bredzisz,LABEL_5,0.8912447094917297
JMcE6H-m-os,1 dzień temu,@Ana-qn1zk,"Serce za Braunem, rozum i głos za Mentzenem!",LABEL_5,0.7197726964950562
DNJ2CQ7D-84,2 tygodnie temu,@piotrpiatek8701,Wystrzelonym rafal,LABEL_2,0.546323299407959
ISw__a8Xqv8,1 miesiąc temu,@maserus83,Bylem tu tylko dla Stanowskiego by zobaczyć jaką solą w oku jest dla kandydatów,LABEL_0,0.8784888386726379
WP7EjE9zkUY,1 miesiąc temu (edytowany),@GabrysiekRybicki,PO won!,LABEL_4,0.7043863534927368
ISw__a8Xqv8,1 miesiąc temu,@raronpl2099,"Nie wiem czy mam się śmiać czy płakać, ale to jest farsa",LABEL_0,0.8351837396621704
WuLUnOLbiNw,9 dni temu,@ornowskamalgorzata9574, @MartaMarta-fs2mz  Lista nr 9,LABEL_5,0.9478534460067749
kNOy3z2kl68,1 miesiąc temu,@elzbietaskowronska-kaczmar3431,Myslalam ze to byly plotki.o zamordyzmie na uczelni..a jednak to prawda i ma Pan Bartoszewski  u mnie za to minus,LABEL_0,0.7577934265136719
PC2lqAnXzvA,1 miesiąc temu,@maks4853,"UE ma nadwyżkę HANDLOWĄ z USA, a USA ma nadwyżkę USŁUGOWĄ, i tyle wystarczy.",LABEL_0,0.7050791382789612
KiTg4fAf_zQ,1 miesiąc temu,@annapoprawa7341,Jak to za czyje ? Za nasze,LABEL_0,0.80278480052948
bvlzQvdgqLU,2 dni temu,@b0l0666,"Jako nie-polka nie powinnaś mieć prawa głosu w wyborach, w Polsce, NIGDY!",LABEL_0,0.8762099742889404
ISw__a8Xqv8,1 miesiąc temu,@Werka-Ja,​ @MortimerKadaver inteligent,LABEL_5,0.9508103728294373
BPCqlDZinOg,1 dzień temu (edytowany),@jolantadzierwa5828,Stanowski pokazał TV gdzie ich miejsce . Mój wybór to pan Braun i tylko on może uratować Polskę.,LABEL_0,0.8854171633720398
ssbRjaEMaYs,4 dni temu,@kozamorena7149,Grzegorz Braun Prezydent ❤❤❤❤❤,LABEL_5,0.7110868692398071
RNJegyGxwFA,2 tygodnie temu,@Sylwester-f4b,Panie Krzysztofie niech debata odbędzie się w kanale Zero,LABEL_5,0.784579336643219
uoNr-izIr0o,2 tygodnie temu,@MirDobrzanski,@ Serio? … kiedyś się ockniesz. 😎,LABEL_5,0.5160828828811646
cbKiPt0w7uY,1 miesiąc temu,@JaroslawWolski-te9kl,Trzaskowski jedzie telekomunikacja miejska tyle lat go uczę a to jak krew w piach komunikacja miejska a ten baran telekomunikacja 😂😂,LABEL_0,0.9320598840713501
7ML9uNOVyfA,1 miesiąc temu,@Przemek-ds7pu, @DawidDuisburgDe  kogo?🤣🤣🤣🤣chyba Ciebie,LABEL_0,0.9000110626220703
BPCqlDZinOg,1 dzień temu,@Czyscioch1312,"Tam wszyscy kłamią albo mówią półprawdę tak to wygląda chcesz prawdy głosuj na Brauna tylko prawda boli, ja ją znam ale przeciętny Polak jak się dowie o co kaman to zwariuje albo się zbuntuje przeciwko właścicielom Polski dlatego wszyscy na Brauna wjeżdżają 😂",LABEL_0,0.9278918504714966
cbKiPt0w7uY,1 miesiąc temu,@Gulek1968,Trzaskowski kłamał kłamie i będzie kłamał 😲🌈,LABEL_0,0.9050498008728027
uoNr-izIr0o,2 tygodnie temu,@gorolcija,@ Tu nie chodzi o przekrecenie tylko ze  usta mowia ...a dusza spiewa....ruch ust z wypowiedzia poprosze porownac ..dla minie to dziwne,LABEL_0,0.9172009229660034
D-LSi_fUaK0,2 tygodnie temu,@Lokharn5,Ma rację akurat. Braun jest jak Korwin. Nie gryzie się w język i idzie tę samą drogą 3-4% Żeby zdobyć duże poparcie trzeba przekonać do siebie ludzi o poglądach centrowych. Inaczej nie ma szans na sukces w jakichkolwiek wyborach,LABEL_1,0.4319666028022766
2K0MIRUzPwI,17 godzin temu,@art_i_stt,"głosujemy na Mentzena, bo tylko on może uratować Polskę i powstrzymać kłamliwy duopol władzy.",LABEL_0,0.6301701068878174
VaC3mfIZ5pQ,2 tygodnie temu,@SnikiTWH,"Brawo Mentzen, masz mój głos 💪",LABEL_4,0.9446117877960205
Q3mCysi5iWQ,4 tygodnie temu,@dindallmatthew,The way you explained this is SO clear. Thank you,LABEL_4,0.9653418064117432
TJkV6bxiw9g,5 dni temu,@mops3187,Tylko o Grzegorzu Braunie śpiewają pieśni,LABEL_0,0.47559595108032227
D-LSi_fUaK0,2 tygodnie temu,@tomaszplata9541,"Tak tak, pierdu pierdu,.... Braun nr 1. To FAKT.",LABEL_0,0.5034418106079102
47eU0lRd4UI,4 tygodnie temu,@ewadr3000,​ @Domino1x Pan Maciej Maciak jest propolski,LABEL_5,0.8376861214637756
H73KlhOd4hI,2 tygodnie temu,@starchild4755,"Problem Mentzena jest taki ze on rozumie świat tak jak chce, a nie tak jak wygląda. ;-))",LABEL_0,0.6873974204063416
Q3mCysi5iWQ,1 miesiąc temu,@michallukasiewicz5475,"​ @annahappypuppydoggroomer4230 Niestety hasło ""Ziobry nie ruszamy"" można spokojnie zamienic na Nawrockiego nie ruszamy a film niby prowokacyjny z tym hasłem wysłany do Pana Stonogi okazał się być odwróceniem uwagi od faktycznych pogladow K. Stanowskiego",LABEL_0,0.9263969659805298
af28AVRIyv4,1 miesiąc temu,@pppppp2395,Ogladalam te debate i czulam sie jak w przedszkolu ...tak nie zachowuja sie dorosli ludzie a.juz na pewno nie kandydaci na prezydenta ...zadnego szcunku i poszanowania jeden dla drugiego ...z kogo ja mam brac przyklad ...ja nie chce zeby moje panstwo reprezentowala jakakolwiek osoba ktora pluje jadem na druga osobe ...czyli jesli pluje na przeciwnika czyli nieakceptuje pogladow innej osoby ... czyli nie ma szacunku rowniez do zwyklego smiertelnika polaka ....dziekuje,LABEL_0,0.9028669595718384
P1VIeoKuv3k,1 dzień temu,@Tomix-PL,"Po co to oglądać, przecież wiadomo ze tvp powie że wygrał Trzaskowski. Nie po to go od kilku miesięcy przerywają ważne programy by np pokazać jak Rafał jest na polu wiatraków by teraz być chodź trochę obiektywnym i powiedzieć cokolwiek złego na swojego człowieka.",LABEL_0,0.9036058783531189
bls2mr3zatc,1 miesiąc temu,@jasnepene6652,Dobrze wiemy czym Stanowski pachnie- popisem!!!,LABEL_0,0.8653265237808228
P9i0WWOhVRg,11 dni temu,@JG-zu4yp,"6,43
O Jezu! Numer roku!",LABEL_5,0.8730406761169434
KiTg4fAf_zQ,1 miesiąc temu,@Rafałtęczowski300-x5u,"Ewidentnie widać, że Rafał Tęczowowski nie nadaje się na prezydenta.",LABEL_0,0.7511951327323914
bvlzQvdgqLU,1 dzień temu,@ewaj6505," @mariazuzanna8381  tak, też uważam, że warto oglądać wywiady z poszczególnymi kandydatami",LABEL_5,0.9232497811317444
F1udb2xAcE0,2 dni temu,@4568Szymek,To Pan Rafał Planeta Płonie Trzaskowski nie przyjechał rowerem?,LABEL_0,0.7054939270019531
BSJdoglkpJA,2 tygodnie temu,@niezesrajsierobaczku7414, @mzawi809  przez kogo byli okłamywani?,LABEL_0,0.6873865127563477
P9i0WWOhVRg,3 tygodnie temu,@Administratorek83,wtedy program trzeba było nazwać 1 z 1 000 000 000 ∞,LABEL_5,0.8079752326011658
Q0OOXXbQKj8,1 miesiąc temu,@gadot2300," @dudsonnn  Na dobrą sprawę zależy jak ktoś definiuje komunizm. W Polsce nie było komunizmu, ale niektórzy będą się upierać że był. To było państwo socjalistyczne. Własność prywatna istniała i była dozwolona (co prawda nie na wielką skalę). Ale pod  tę definicje niektórzy podciągają nawet kraje skandynawskie...",LABEL_0,0.5304762721061707
KiTg4fAf_zQ,1 miesiąc temu,@LukeXMV,Trzaskowski chyba zle slyszy. Nie odpowiadal na zadane mu pytania.,LABEL_0,0.5821812748908997
VaC3mfIZ5pQ,2 tygodnie temu,@leaschleasch5207,CBDC I ZNIEWOLENIE BYDŁA dziekujemy Szymonie,LABEL_4,0.7214593887329102
zw0sZ8tXzxI,2 tygodnie temu,@piotrgrodecki9032,Rafalala się obsrał,LABEL_2,0.850059986114502
VaC3mfIZ5pQ,2 tygodnie temu (edytowany),@grazynadziadek7644,"Uważasz, że chamstwo jest w cenie NIE!!!  I nigdy nie było.
 Nie zauważyłam w jakimkolwiek komentarzu   konfederata lub pisowca aby  napisał coś  mądrego i do rzeczy ,nie używając przy tym inwektyw...
To świadczy wyłącznie o was, że nie znając osoby obrażacie ją. 
 Przez lata życia nie spotkałam się z tak niskim poziomem kultury, wiedzy, braku umiejętności dyskusji z poszanowaniem innej osoby.
Wybieracie prezydenta a nie sołtysa.
A szczególnie Braun I Mentzen zwyczajnie nie nadają się na ten urząd. 
Wy nie uznajecie ludzi mądrych ale tych , co głośniej krzyczą, szybciej mówią, żebyście nie zdąrzyli zrozumieć i uznają za sukces oglądalność na you tube.  
Przykre.
Pozdrawiam🍀 . Nie piszcie bo nie odpowiadam na żadne komentarze.",LABEL_0,0.7081263065338135
Z89Qq74Fs00,1 miesiąc temu,@Аняна,Senyszyn jest dla Polski tym czym Biden dla USA - starsza pani musi (wreszcie) odejść w niepamięć.,LABEL_0,0.7975130677223206
ssbRjaEMaYs,4 dni temu,@jerryo8161,od Tatr aż do morza głosujmy na Grzegorza 🇵🇱,LABEL_5,0.9237749576568604
Z89Qq74Fs00,1 miesiąc temu,@gabrielagolkowska9325,"@magitalia  Również pozdrawiam i życzę Pani i sobie, żeby nasz Kandydat został Prezydentem Polski i nie dopuścił do domknięcia systemu!",LABEL_5,0.3725776672363281
_nng5S5nYOQ,2 tygodnie temu,@kaja62,"Tylko Grzegorz Braun, bo tylko z NIM mamy szansę na ZMIANY W PAŃSTWIE POLSKIM.",LABEL_5,0.5436403155326843
RNJegyGxwFA,2 tygodnie temu,@Fox_ghost_One_1,"On wie że już został wybrany, niestety...",LABEL_0,0.5233383178710938
WH6SHOiXgWQ,4 dni temu,@Greg-fv7co,​ @matthewm7152 W którym miejscu? Z ciekawości pytam bo nie widziałem całej debaty.,LABEL_0,0.790344774723053
uoNr-izIr0o,2 tygodnie temu,@ralfbrzoska1327,Można krytykować -właśnie to zrobiłeś😂,LABEL_0,0.8842993974685669
dW5ef-pJ2Ls,4 dni temu,@Matfizio,"plus to bez sensu karac za kradzież smiercia, zycie ludzkie nie ma ceny nawet to nalezace do najgorszych osob",LABEL_0,0.8677423000335693
BPCqlDZinOg,1 dzień temu,@Puntolot,"Akurat co do klapsów dawanych dzieciom, jak są niegrzeczne, to się zgadzam z Mentzenem. Kiedyś był klaps i od razu był spokój. Oczywiście nie mylmy klapsa z katowaniem.",LABEL_1,0.8423998355865479
BSJdoglkpJA,2 tygodnie temu,@tommark6853,I to jest prawdziwy Polak który rozumie czym jest dyplomacja😊,LABEL_5,0.6143935918807983
p4ukw7Mhm5s,13 dni temu,@karolkielczyk8604,Brawo Braun to jest klasa,LABEL_4,0.8806772828102112
HU_tOLI2Hvc,2 tygodnie temu,@rafizul90,Bo aj waj to niedobra jest o  tym mówić,LABEL_0,0.9331707954406738
EpUhR6x10Ww,4 tygodnie temu,@magentaballthepolandball5130,"nie no mazurek, widać że ci musieli zapłacić, bo wszyscy wiedzą, że Sławomir Mentzen ma największe szanse na wygranie z Rafałem Trzaskowskim w drugiej turze i tylko dlatego mówisz, ze sobie słabo poradził.",LABEL_0,0.8634099364280701
xO5zkaXG8NE,12 dni temu,@PiotrRokita-t8e,Kim ten mikrus jest na koturnach 😢,LABEL_0,0.8768328428268433
8X7Jy-pR3Es,2 tygodnie temu,@shainet9296,​ @Lavrusha911 ty nawet podstawówki nie skończyłeś 😂,LABEL_0,0.7630721926689148
zw0sZ8tXzxI,2 tygodnie temu,@stanisawczyzynski9728," @lukaszskiba2  pewnie przez przypadek został posłem, czy też polskim posłem do eurokołchozu?",LABEL_0,0.8836039304733276
zw0sZ8tXzxI,2 tygodnie temu,@walkieloki,Stanowski to Trzasku ma przyjść jak inni a nie ty do niego chyba że on przyjdzie bo jak nie przyjdzie do kanału ZERO to jest przegrany,LABEL_0,0.9056414365768433
j3doIOrx7JU,1 dzień temu,@Oliwka.Fran.123,"Krzywousty referendum? przecież to trzeba bojkotować,nie pamietasz krzywousty?",LABEL_0,0.9354449510574341
5MkDICV7Trs,1 dzień temu,@KrzysztofZareba-w6j,Ale wy nie macie poważnych tematów tylko te mieszkanie to jest tak piętnowane jak by było tak ważne   są od tego służby a nie wy wejście się za poważne tematy po to taki cyrk na który się nie chce patrzeć,LABEL_0,0.9379855990409851
acqYOuWJ2XE,4 dni temu,@JayantiMunda-ni2kc,Algorithm finally did something right,LABEL_4,0.5037655830383301
mEeR9sSRUpY,4 tygodnie temu,@piotrhead1555,Tylko Nawrocki i jakubiak,LABEL_0,0.9016384482383728
Z89Qq74Fs00,1 miesiąc temu,@maciejwysocki751,Ale jak telewizja była PiSu to było dobrze ?,LABEL_0,0.7134107351303101
HVlCQMtXZFU,2 dni temu,@vlodek-193,"A paniusia może po gimnazjum?!🤔
Wy ""zera"" musicie się trzymać razem, w jednym kanale. ""W KUPIE siła!"" 😁",LABEL_0,0.7626462578773499
Q0OOXXbQKj8,1 miesiąc temu,@rolandrewolwer1727,Sram na ukrainu!,LABEL_4,0.9483411908149719
Z89Qq74Fs00,1 miesiąc temu,@Grajcz,"To była odpowiedź dla Stano a nie rada dla Trzaska ale wiele to nie zmienia. Jakim prawem osoba prowadząca debatę wtrąca się w pytania i odpowiedzi kandydatów? Jakim prawem neguje słowa jednego z kandydatów?
Propagandę to niech sobie prowadzi w programach ""informacyjnych"", na debacie to kandydaci mają odpowiadać. Czysta woda, tfu.
Pieniądze z haraczu zwanego abonamentem dalej są wywalane w błoto, mnie w sektorze prywatnym za takie marnotrawstwo jakie robi państwo z podatkami wywaliliby z roboty po miesiącu.
Wstydź się kobieto, sprzedajesz się za publiczne pieniądze!",LABEL_0,0.9035772681236267
-zVa1ibe11c,1 miesiąc temu,@WladekKrawczyk,KAROL NAWROCKI PREZYDENTEM POLSKI popieram,LABEL_5,0.939669668674469
ISw__a8Xqv8,1 miesiąc temu,@robertrobert6402,WIECZORU TA NO I NO,LABEL_5,0.9380452036857605
Bo_BY3jPsSY,2 tygodnie temu,@Phenixx84,"Zawsze łykali. Kaczyński kiedyś powiedział ""Nikt nam nie będzie wmawiał, że czarne jest czarne, a białe jest białe"", której pewnie bym nie pamiętała, gdyby nie ten błąd :P, ale pamiętam i wciąż jest to aktualne w stosunku do platformy, w poprawnym brzmieniu oczywiście.",LABEL_0,0.8179744482040405
G7Rusqg2LqY,2 tygodnie temu,@bori3325,Mentzen nadrobił po ostatnim,LABEL_5,0.6437541246414185
_nng5S5nYOQ,2 tygodnie temu,@piotrnowak3548,"...""eksperci tvn""... 😂",LABEL_0,0.8473213315010071
257q2y03Hgc,3 tygodnie temu,@arkadiuszmarzec5995,Jaką demokrację?😂,LABEL_0,0.8412843942642212
lr3gjsSY_co,5 dni temu,@mariuszszuszkiewicz6865,"Kukkurykuuuu 🐓 
Witam i dobrego dnia Słowianie ☀️🐓🇵🇱 
Ku Słońcu, Ku-Ra!",LABEL_4,0.95914626121521
mDGdhM32fPE,1 miesiąc temu,@WilczekAnia," @Tytus-e1x  Dokładnie, już tak robią",LABEL_0,0.5603998899459839
XBv-L_EY4nw,1 miesiąc temu,@krzysztofguz2679,Oni wszyscy wygadują głupoty.. stanowski ma tylko wyrąbane,LABEL_0,0.9256237745285034
mDGdhM32fPE,1 miesiąc temu,@ukaszskr5127,niestety. Ta partia niczego się nie nauczyła od 2015 roku. Mówię to jako zdecydowany przeciwnik tego co robił PiS przez ostatnie dwie kadencje...,LABEL_0,0.7033122777938843
-JH9onEuq9M,5 dni temu,@zwykylis6067," @waldek2303 to chyba tobie się coś pomyliło, bo nie potrafisz czytać ze zrozumieniem",LABEL_0,0.8687556385993958
k2dYi3qlfpQ,2 dni temu,@ksawerytrebicki9260,Brawo dla Sławomir metzen który obnaża kłamstwo dupiarza Trzaskowskiego 👏🏻👏🏻👏🏻,LABEL_0,0.8309287428855896
5MkDICV7Trs,1 dzień temu,@Barbara.Jarosik," @januszek58  Nie atakuję, tylko wyrażam swoją opinię o wyglądzie Trzaskowskiego. W moim odczuciu wygląda niechlujnie.",LABEL_0,0.6957470178604126
xO5zkaXG8NE,2 tygodnie temu,@adroandro2768,Karolku może to twój prezydent ale nie moj. On jest jedynie długopisem i pachołkiem kaczki.,LABEL_0,0.894038736820221
VMmhsHJ69To,2 dni temu,@amnioandy,P BRAUN vs oprawcy Polski tylko GRZEGORZ!!!!,LABEL_0,0.9041264057159424
vjf3BzpqDAk,2 tygodnie temu,@mariabaginska6056,"Zabierano Kościołowi ziemie.Klasztorom nawet budynki a zwracano bardzo zniszczone!!! Niech pani nie czepia Kościoła a zajrzy w swoje sumienie!! Pani Zsenyszyn słabo Pani się orientuje w tym jak bardzo Kościól i klasztory ucierpaly ,zwalniano siostry ze szpitali,zabierano przedszkola Siostrm. Niech Pan poczyta!!!!",LABEL_0,0.931995153427124
drhIr2sYbzU,1 dzień temu (edytowany),@tomaszkowal7316,Pusty kufel Pusta kieszeń a i tak się polityką śmieszę.:))),LABEL_0,0.9021431803703308
hDemaLdJbr4,2 tygodnie temu,@morgard6604,Jeśli nie wiesz kto Tobą rządzi sprawdź kogo nie wolno Ci obrazić. Jak się wszyscy rzucili 😂 Idealnie Grzegorz Braun pociągnął temat rzymian teraz wiemy kto nami rządzi a przynajmniej ma w garści naszych polityków.,LABEL_0,0.9191011786460876
F1udb2xAcE0,2 dni temu,@bogdankupiec3040,O by się  ze stali 😂😂😂,LABEL_0,0.9098955392837524
DNJ2CQ7D-84,8 dni temu,@tomaszkordonski4585,"Myślę,że Trzaskowski,to już jest tak w tym wszystkim zatopiony,że ma już wyłączone rozsądek i myślenie. Pływa w tym jak rybka w  wodzie. A jak ktoś go z tego wyciąga,to reaguje jak rybka wyjęta z akwarium,rzuca się i chaustami łapie powietrze....
Szczerze się obruszył bo w te swoje dyrdymały wierzy! Wyszedł z tego studio,jak senator Kozioł z Wilkowyj😂😂😂",LABEL_0,0.7892668843269348
SIHYSbcvPzY,4 dni temu,@annapodniesinska6201,"@i0intense0i67  Ja znam większość młodych ludzi, którzy nie chcą mieszkać z rodzicami tylko oddzielnie i nie korzystają z propozycji rodziców.  Wolą zakredytowac się.  A niektórzy mogliby mieć inną sytuację gdyby tylko chcieli iść pod prąd i dać sobie np 2-4 lata na nazbieranie pieniędzy. Ale wiem, że jest dużo osób, które nie mają takich możliwości.",LABEL_1,0.964345395565033
jn8vgVIm_cw,1 dzień temu,@pucek365, @Niemen2  Przeczytaj jeszcze raz mój komentarz,LABEL_5,0.9221216440200806
P1VIeoKuv3k,1 dzień temu (edytowany),@AresGoda,"TVPropaganda. Kto to wogole jeszcze ogląda ?!

PS: czemu nigd nie mowie ze Prezes TVP organizuje w spółce u Trzaskowskiego",LABEL_0,0.919784426689148
zchQKkgU2C4,10 dni temu,@Vizone70,Mamy już Film na tegorocznego Oscara,LABEL_5,0.6326277256011963
AB5A2kMUpEo,1 miesiąc temu,@albertwolanski7688,Aborcje nalezy wyrzucic z debaty politycznej. Decyzja powinna nalezec do rodzicow. Za komuny aborcja byla legalna i dostepna a mimo to nie bylo problemu z polska demografia.,LABEL_0,0.5910642147064209
JMcE6H-m-os,10 godzin temu,@az092536,Ta mina Bążura😂😂😂,LABEL_0,0.8054997324943542
9evQ1IszSVY,1 miesiąc temu,@fionajm99,"Dokładnie tak. Sondaże są po to, aby udawać, że trzeba wybrać mniejsze zło,  że niby nie ma wyjścia. To czysta manipulacja. zawsze jest wyjście, trzeba tylko uruchomić samodzielne myślenie. Polacy głosujcie na kogo chcecie, ale zgodnie ze swoją wolą, aby to była własna i najlepiej przemyślana decyzja wynikająca z samodzielnego poznania działalności wszystkich kandydatów, a nie manipulacji sondażowych.",LABEL_0,0.7272626161575317
Bo_BY3jPsSY,2 tygodnie temu,@AdamBryk-z3m,Jak wy możecie powiedzieć że Trzaskowski wypadł najlepiej gdy spocił się jak świnia nie obrażając zwierząt i uciekał z mównicy 😢,LABEL_0,0.6983655095100403
vjf3BzpqDAk,2 tygodnie temu,@Maria-g2v7q,Trzaskowski to jakis nawiedzony ..😂,LABEL_0,0.9158629179000854
